white_elo,black_elo,result,time_control,opening_moves
1750,1742,black,300+6,e4 e5 f4 exf4 Nf3 Be7 Bc4 Bh4+ g3 fxg3
1473,1365,white,0+1,d4 Nc6 d5 Nb8 e4 Na6 g3 Nb4 c3 Na6
1520,1356,white,360+0,e4 g6 Qf3 Bg7 Bc4 Nf6 d3 e6 Bg5 d5
1495,1546,black,0+1,b3 c6 c3 d5 Bb2 Qd7 Qc2 f6 g3 e5
1394,1211,white,540+0,d4 d5 e3 Nf6 Nd2 Bf5 Ngf3 Nc6 Nh4 Qd7
1574,1656,white,600+10,e4 e5 Nf3 d6 Bc4 h6 Nc3 Nc6 d4 exd4
1909,1799,white,120+12,d4 c6 e4 d5 Bd3 dxe4 Bxe4 Nd7 Nf3 Ngf6
1356,1481,black,0+1,Nc3 b6 Nd5 Bb7 Nc3 c6 e3 d6 Be2 Qc7
1651,1880,black,60+0,d4 d5 e3 Nf6 c4 c6 c5 b6 b4 a5
1336,1530,black,360+5,e4 e5 Nf3 Nc6 Bc4 h6 c3 Nf6 Qb3 Qe7
1760,1780,white,120+2,e4 c5 Nc3 Nc6 a4 g6 Bc4 Bg7 f4 Nf6
1627,1500,white,600+1,d4 f6 Bf4 e5 dxe5 Nc6 exf6 Nxf6 Nc3 Bc5
2099,1637,white,120+0,d4 d5 c4 e6 Nc3 dxc4 Nf3 Bd6 e4 Nd7
1527,1602,white,360+0,e4 d6 Bc4 Nf6 Qf3 g6 d4 Bg4 Qf4 h5
1430,1406,black,240+0,Nf3 e6 e3 d5 c4 c6 cxd5 cxd5 Qb3 b6
1532,1396,white,600+0,e4 e5 Nf3 Nf6 Nxe5 Qe7 d4 d6 Nf3 Nxe4
1773,1682,black,900+0,d4 e6 e4 d5 e5 b6 Bd3 Bb7 Nf3 Nd7
1727,1444,white,360+6,e4 e5 Nf3 f6 d4 exd4 Nxd4 c5 Nf5 g6
1313,1504,black,60+5,d4 d5 c4 dxc4 Qa4+ Bd7 Qxc4 b5 Qc3 Nc6
1377,1460,black,180+6,e3 e5 d4 exd4 exd4 d5 Ne2 Nf6 g3 h6
1285,1556,white,0+1,e4 c6 d3 d5 Nd2 dxe4 dxe4 Nd7 Ngf3 e5
1635,2101,black,120+0,d4 Nf6 h4 c5 e3 cxd4 Qxd4 Nc6 Qd1 g6
1401,1206,white,420+0,d4 Nf6 d5 d6 c4 c5 Nc3 a6 Qa4+ Bd7
1504,1417,black,300+3,e4 e6 Bd3 d5 e5 c5 c4 d4 a4 Bd7
1488,1561,black,480+5,c4 e5 e3 e4 a3 Nf6 d4 d5 c5 Nc6
1474,1484,black,0+1,e4 e6 d3 Qh4 Nd2 Qd8 Ngf3 g6 g3 Bg7
1703,1786,black,60+0,e4 e6 d4 d5 e5 f6 f4 c5 c3 Nc6
1798,1522,white,480+8,Nc3 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 c5
1628,1592,black,300+5,e4 e6 d4 c5 c3 d6 Be3 cxd4 cxd4 Be7
1490,1298,white,420+9,e4 e5 Qh5 d5 Qxe5+ Be6 f3 Nc6 Qg3 Bd6
1727,1663,draw,600+1,e4 c6 Nf3 d6 Bc4 Nf6 O-O Bg4 Re1 Nbd7
1361,1390,white,0+1,d4 d6 Nf3 Nd7 c4 Ngf6 Nc3 g6 Bg5 Bg7
1484,1772,black,120+3,Nf3 d5 g3 Bg4 Bg2 Nc6 O-O Qd7 d3 Bh3
1348,1494,white,0+1,f3 g6 Kf2 Bg7 Ke1 Bf6 Kf2 Bh4+ g3 Bf6
1795,1694,draw,60+0,d4 Nf6 c4 c5 Nc3 cxd4 Qxd4 Nc6 Qd1 g6
2103,1633,white,120+0,d4 d5 Nd2 Nf6 Ngf3 e6 g3 Be7 Bg2 h6
1588,1430,black,600+10,e4 e5 Nf3 d6 Bc4 Be6 Bxe6 fxe6 Nc3 c6
1481,1768,black,120+3,Nf3 d5 g3 c5 Bg2 Nc6 O-O e5 d3 f6
1792,1365,white,0+1,d4 d6 c4 d5 Nc3 dxc4 Nf3 Nc6 e4 Nxd4
1201,1400,white,540+0,e4 e5 Bc4 Nf6 Nf3 d5 exd5 Nxd5 Nxe5 Qg5
1509,1296,white,60+5,e4 e5 Nf3 Nf6 d4 Qe7 Bd3 Nc6 dxe5 Nxe5
1575,1596,white,480+2,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 Qb3 d5
1696,1756,black,900+0,d4 Nf6 e3 g6 b3 Bg7 Bb2 d6 Nd2 O-O
1470,1414,black,600+10,e4 c5 Nf3 Nc6 Bb5 a6 Bxc6 bxc6 d4 cxd4
1632,2105,black,120+0,d4 Nc6 d5 Ne5 e3 e6 dxe6 fxe6 Nf3 Nxf3+
1368,1651,black,180+6,e3 d5 Nc3 e5 d4 e4 Nge2 Nf6 g3 c6
1659,1512,white,600+0,e4 e5 Nf3 Qf6 Nc3 c6 a3 g5 d3 h6
1397,1536,black,360+10,e4 Nc6 Bc4 e6 Nf3 d5 exd5 exd5 Bb5 Bd7
1363,1794,black,0+1,f3 e6 Kf2 d5 e3 Nf6 g3 c5 Ne2 Nc6
1770,1821,black,300+8,e4 e5 d4 exd4 c3 Nc6 cxd4 Bb4+ Nc3 Qf6
1788,1654,white,480+1,d4 e6 c4 d5 Nf3 dxc4 Bg5 f6 Bf4 Nc6
1477,1579,black,120+3,Nf3 c5 g3 Nc6 Bg2 e6 O-O d5 d3 Be7
1772,1751,white,180+2,d4 d5 c4 e6 Nc3 Nf6 Nf3 Be7 Bf4 O-O
1389,1736,white,300+15,e4 c5 Bc4 e6 Qf3 d6 d3 Nf6 Nh3 h6
1518,1827,black,480+8,e4 Nc6 Nf3 Nf6 Nc3 d5 e5 Ne4 Nxe4 dxe4
1361,1796,black,0+1,g3 e6 Bg2 d5 f3 Nf6 Kf2 c5 Qf1 Nc6
1767,1687,draw,900+0,d4 e6 e4 d5 e5 b6 Nc3 Bb7 Bd3 Nd7
1384,1844,black,300+0,e4 c6 Nf3 d5 e5 Bf5 Nc3 e6 d4 c5
1251,1247,white,240+8,e4 d5 d4 dxe4 d5 Nf6 c4 Bg4 f3 exf3
1149,1346,black,660+8,e4 e5 Qh5 d6 Bc4 Qe7 Nf3 Nf6 Qh4 c6
1446,1572,white,600+10,d4 Nc6 e4 e5 Be3 exd4 Bxd4 Nxd4 Qxd4 Be7
1790,1297,black,120+12,b3 e5 Bb2 Nc6 e3 Bc5 Bb5 d6 Ne2 Bd7
1712,1915,black,300+3,d4 b6 c4 Bb7 Nc3 Nf6 Qd3 e6 e4 d5
1431,1491,white,300+3,e4 e5 g4 Nc6 c3 d6 d4 Nf6 d5 Nb8
1359,1798,black,0+1,e3 e6 e4 d5 e5 f6 Nf3 c5 Bd3 Nc6
